Epoch 1, Training Loss: 0.46308350563049316, Validation Loss: 0.4618810713291168
Epoch 2, Training Loss: 0.4618811011314392, Validation Loss: 0.4606987535953522
Epoch 3, Training Loss: 0.4606987535953522, Validation Loss: 0.4595400393009186
Epoch 4, Training Loss: 0.45954009890556335, Validation Loss: 0.4583785831928253
Epoch 5, Training Loss: 0.4583785831928253, Validation Loss: 0.457219660282135
Epoch 6, Training Loss: 0.457219660282135, Validation Loss: 0.4560602307319641
Epoch 7, Training Loss: 0.4560602307319641, Validation Loss: 0.4549229145050049
Epoch 8, Training Loss: 0.45492294430732727, Validation Loss: 0.45378974080085754
Epoch 9, Training Loss: 0.45378974080085754, Validation Loss: 0.4526393711566925
Epoch 10, Training Loss: 0.4526393711566925, Validation Loss: 0.4514678716659546
Epoch 11, Training Loss: 0.451467901468277, Validation Loss: 0.4502699375152588
Epoch 12, Training Loss: 0.4502699077129364, Validation Loss: 0.44904887676239014
Epoch 13, Training Loss: 0.44904887676239014, Validation Loss: 0.44781243801116943
Epoch 14, Training Loss: 0.44781243801116943, Validation Loss: 0.44655105471611023
Epoch 15, Training Loss: 0.44655105471611023, Validation Loss: 0.44525137543678284
Epoch 16, Training Loss: 0.44525134563446045, Validation Loss: 0.4439179599285126
Epoch 17, Training Loss: 0.4439179003238678, Validation Loss: 0.4425395131111145
Epoch 18, Training Loss: 0.4425395131111145, Validation Loss: 0.44110754132270813
Epoch 19, Training Loss: 0.44110754132270813, Validation Loss: 0.4396286904811859
Epoch 20, Training Loss: 0.4396286606788635, Validation Loss: 0.4381006360054016
Epoch 21, Training Loss: 0.4381006062030792, Validation Loss: 0.43651053309440613
Epoch 22, Training Loss: 0.4365105926990509, Validation Loss: 0.4348304569721222
Epoch 23, Training Loss: 0.4348304569721222, Validation Loss: 0.43306294083595276
Epoch 24, Training Loss: 0.43306294083595276, Validation Loss: 0.4312191307544708
Epoch 25, Training Loss: 0.4312191307544708, Validation Loss: 0.4293174147605896
Epoch 26, Training Loss: 0.4293174147605896, Validation Loss: 0.427333265542984
Epoch 27, Training Loss: 0.427333265542984, Validation Loss: 0.42524993419647217
Epoch 28, Training Loss: 0.42524993419647217, Validation Loss: 0.4230346977710724
Epoch 29, Training Loss: 0.4230346977710724, Validation Loss: 0.42071205377578735
Epoch 30, Training Loss: 0.42071205377578735, Validation Loss: 0.41823193430900574
Epoch 31, Training Loss: 0.4182319939136505, Validation Loss: 0.415642648935318
Epoch 32, Training Loss: 0.415642648935318, Validation Loss: 0.4129093885421753
Epoch 33, Training Loss: 0.4129093289375305, Validation Loss: 0.4100255072116852
Epoch 34, Training Loss: 0.41002553701400757, Validation Loss: 0.4070074260234833
Epoch 35, Training Loss: 0.4070073664188385, Validation Loss: 0.4038022756576538
Epoch 36, Training Loss: 0.4038023054599762, Validation Loss: 0.40037986636161804
