Epoch 1, Training Loss: 0.453443318605423, Validation Loss: 0.4520385265350342
Epoch 2, Training Loss: 0.4520385265350342, Validation Loss: 0.45072805881500244
Epoch 3, Training Loss: 0.45072802901268005, Validation Loss: 0.4494226276874542
Epoch 4, Training Loss: 0.4494226276874542, Validation Loss: 0.4481148421764374
Epoch 5, Training Loss: 0.4481148421764374, Validation Loss: 0.44679442048072815
Epoch 6, Training Loss: 0.44679445028305054, Validation Loss: 0.44547751545906067
Epoch 7, Training Loss: 0.44547751545906067, Validation Loss: 0.44414323568344116
Epoch 8, Training Loss: 0.4441432058811188, Validation Loss: 0.44279298186302185
Epoch 9, Training Loss: 0.44279298186302185, Validation Loss: 0.44142791628837585
Epoch 10, Training Loss: 0.44142791628837585, Validation Loss: 0.4400627613067627
Epoch 11, Training Loss: 0.4400627613067627, Validation Loss: 0.43870359659194946
Epoch 12, Training Loss: 0.43870362639427185, Validation Loss: 0.43737319111824036
Epoch 13, Training Loss: 0.43737319111824036, Validation Loss: 0.4360053241252899
Epoch 14, Training Loss: 0.43600526452064514, Validation Loss: 0.4346182346343994
Epoch 15, Training Loss: 0.4346182346343994, Validation Loss: 0.43319573998451233
Epoch 16, Training Loss: 0.43319573998451233, Validation Loss: 0.43172287940979004
Epoch 17, Training Loss: 0.43172287940979004, Validation Loss: 0.4302017390727997
Epoch 18, Training Loss: 0.4302017390727997, Validation Loss: 0.4286539852619171
Epoch 19, Training Loss: 0.4286539852619171, Validation Loss: 0.42707473039627075
Epoch 20, Training Loss: 0.4270747900009155, Validation Loss: 0.42545512318611145
Epoch 21, Training Loss: 0.42545512318611145, Validation Loss: 0.42380911111831665
Epoch 22, Training Loss: 0.42380914092063904, Validation Loss: 0.42207667231559753
Epoch 23, Training Loss: 0.42207664251327515, Validation Loss: 0.4202830493450165
Epoch 24, Training Loss: 0.4202830493450165, Validation Loss: 0.4183996021747589
Epoch 25, Training Loss: 0.4183996021747589, Validation Loss: 0.4165011942386627
Epoch 26, Training Loss: 0.4165011942386627, Validation Loss: 0.4145488142967224
Epoch 27, Training Loss: 0.4145488142967224, Validation Loss: 0.4125218987464905
Epoch 28, Training Loss: 0.4125218689441681, Validation Loss: 0.41038113832473755
Epoch 29, Training Loss: 0.41038110852241516, Validation Loss: 0.40812551975250244
Epoch 30, Training Loss: 0.40812554955482483, Validation Loss: 0.4057500958442688
Epoch 31, Training Loss: 0.4057500958442688, Validation Loss: 0.40324872732162476
Epoch 32, Training Loss: 0.40324872732162476, Validation Loss: 0.40063586831092834
Epoch 33, Training Loss: 0.40063586831092834, Validation Loss: 0.39784762263298035
Epoch 34, Training Loss: 0.39784762263298035, Validation Loss: 0.39490199089050293
Epoch 35, Training Loss: 0.39490196108818054, Validation Loss: 0.39175155758857727
Epoch 36, Training Loss: 0.39175158739089966, Validation Loss: 0.38837316632270813
Epoch 37, Training Loss: 0.38837316632270813, Validation Loss: 0.38474002480506897
Epoch 38, Training Loss: 0.38474002480506897, Validation Loss: 0.38082513213157654
Epoch 39, Training Loss: 0.3808251619338989, Validation Loss: 0.37664005160331726
Epoch 40, Training Loss: 0.37664005160331726, Validation Loss: 0.37218910455703735
Epoch 41, Training Loss: 0.37218910455703735, Validation Loss: 0.3674648106098175
Epoch 42, Training Loss: 0.3674648106098175, Validation Loss: 0.36235311627388
Epoch 43, Training Loss: 0.36235311627388, Validation Loss: 0.35683441162109375
Epoch 44, Training Loss: 0.35683441162109375, Validation Loss: 0.3509463667869568
Epoch 45, Training Loss: 0.3509463667869568, Validation Loss: 0.3446415662765503
Epoch 46, Training Loss: 0.3446415066719055, Validation Loss: 0.3379190266132355
Epoch 47, Training Loss: 0.3379190266132355, Validation Loss: 0.33077526092529297
Epoch 48, Training Loss: 0.3307752311229706, Validation Loss: 0.3231664299964905
Epoch 49, Training Loss: 0.3231664299964905, Validation Loss: 0.31510189175605774
Epoch 50, Training Loss: 0.31510189175605774, Validation Loss: 0.30663278698921204
Epoch 51, Training Loss: 0.30663278698921204, Validation Loss: 0.2977496087551117
Epoch 52, Training Loss: 0.2977496087551117, Validation Loss: 0.28852033615112305
Epoch 53, Training Loss: 0.28852033615112305, Validation Loss: 0.2789342701435089
