Epoch 1, Training Loss: 0.5072711110115051, Validation Loss: 0.5057260394096375
Epoch 2, Training Loss: 0.5057260394096375, Validation Loss: 0.5042257308959961
Epoch 3, Training Loss: 0.5042257308959961, Validation Loss: 0.5027350783348083
Epoch 4, Training Loss: 0.5027350783348083, Validation Loss: 0.5012362599372864
Epoch 5, Training Loss: 0.5012362599372864, Validation Loss: 0.49972793459892273
Epoch 6, Training Loss: 0.49972793459892273, Validation Loss: 0.4982186257839203
Epoch 7, Training Loss: 0.4982186257839203, Validation Loss: 0.4967325031757355
Epoch 8, Training Loss: 0.4967325031757355, Validation Loss: 0.4952409863471985
Epoch 9, Training Loss: 0.4952409565448761, Validation Loss: 0.4937586486339569
Epoch 10, Training Loss: 0.4937586486339569, Validation Loss: 0.4922569990158081
Epoch 11, Training Loss: 0.4922569990158081, Validation Loss: 0.49072912335395813
Epoch 12, Training Loss: 0.49072912335395813, Validation Loss: 0.48916980624198914
Epoch 13, Training Loss: 0.4891698360443115, Validation Loss: 0.4876425862312317
Epoch 14, Training Loss: 0.48764264583587646, Validation Loss: 0.4861028790473938
Epoch 15, Training Loss: 0.4861029386520386, Validation Loss: 0.4845382571220398
Epoch 16, Training Loss: 0.484538197517395, Validation Loss: 0.48294928669929504
Epoch 17, Training Loss: 0.48294928669929504, Validation Loss: 0.48129522800445557
Epoch 18, Training Loss: 0.48129522800445557, Validation Loss: 0.47959110140800476
Epoch 19, Training Loss: 0.47959110140800476, Validation Loss: 0.4778546094894409
Epoch 20, Training Loss: 0.4778546094894409, Validation Loss: 0.47608381509780884
Epoch 21, Training Loss: 0.47608378529548645, Validation Loss: 0.4742431938648224
Epoch 22, Training Loss: 0.4742431938648224, Validation Loss: 0.4723318815231323
Epoch 23, Training Loss: 0.4723318815231323, Validation Loss: 0.4703349471092224
Epoch 24, Training Loss: 0.4703349173069, Validation Loss: 0.4682515859603882
Epoch 25, Training Loss: 0.4682515263557434, Validation Loss: 0.4660753607749939
Epoch 26, Training Loss: 0.4660753309726715, Validation Loss: 0.4637875258922577
Epoch 27, Training Loss: 0.4637874960899353, Validation Loss: 0.4614008963108063
Epoch 28, Training Loss: 0.4614008665084839, Validation Loss: 0.45890846848487854
Epoch 29, Training Loss: 0.4589084982872009, Validation Loss: 0.4562995731830597
Epoch 30, Training Loss: 0.4562995731830597, Validation Loss: 0.4535365700721741
Epoch 31, Training Loss: 0.4535365700721741, Validation Loss: 0.4506141245365143
Epoch 32, Training Loss: 0.4506141245365143, Validation Loss: 0.44758284091949463
Epoch 33, Training Loss: 0.44758284091949463, Validation Loss: 0.44436970353126526
Epoch 34, Training Loss: 0.44436973333358765, Validation Loss: 0.4409436583518982
Epoch 35, Training Loss: 0.4409436583518982, Validation Loss: 0.4373096525669098
Epoch 36, Training Loss: 0.4373096525669098, Validation Loss: 0.4334900379180908
Epoch 37, Training Loss: 0.4334900379180908, Validation Loss: 0.42939531803131104
Epoch 38, Training Loss: 0.42939531803131104, Validation Loss: 0.42497900128364563
Epoch 39, Training Loss: 0.42497894167900085, Validation Loss: 0.42027291655540466
Epoch 40, Training Loss: 0.42027291655540466, Validation Loss: 0.4152291417121887
