Epoch 1, Training Loss: 0.10408401489257812, Validation Loss: 0.08377093398103527
Epoch 2, Training Loss: 0.08140487547963858, Validation Loss: 0.0813683766652556
Epoch 3, Training Loss: 0.07833556696772576, Validation Loss: 0.07713266272170871
Epoch 4, Training Loss: 0.0770479817315936, Validation Loss: 0.07610314441662208
Epoch 5, Training Loss: 0.07531992468982934, Validation Loss: 0.07390965915778104
Epoch 6, Training Loss: 0.073568016551435, Validation Loss: 0.07182375341653824
Epoch 7, Training Loss: 0.0723979852348566, Validation Loss: 0.06970169103028727
Epoch 8, Training Loss: 0.07105637103319168, Validation Loss: 0.06719451529138229
Epoch 9, Training Loss: 0.0690108080767095, Validation Loss: 0.06422678110938446
Epoch 10, Training Loss: 0.06730111699551344, Validation Loss: 0.06142548113769176
Epoch 11, Training Loss: 0.06542220484465361, Validation Loss: 0.059288094806320524
Epoch 12, Training Loss: 0.0641374534741044, Validation Loss: 0.05782229051578278
Epoch 13, Training Loss: 0.06325827803462744, Validation Loss: 0.05748942012296004
Epoch 14, Training Loss: 0.06254114631563425, Validation Loss: 0.0563847455470001
Epoch 15, Training Loss: 0.06207799134775996, Validation Loss: 0.056229803492041194
Epoch 16, Training Loss: 0.06154898641631007, Validation Loss: 0.05575137665750934
Epoch 17, Training Loss: 0.06103730475530028, Validation Loss: 0.05554524838340049
Epoch 18, Training Loss: 0.060707197915762665, Validation Loss: 0.05552206487924445
Epoch 19, Training Loss: 0.06047666821628809, Validation Loss: 0.05517315806127062
Epoch 20, Training Loss: 0.06009878089651465, Validation Loss: 0.055284763302873165
Epoch 21, Training Loss: 0.05987359661608935, Validation Loss: 0.05510788783431053
Epoch 22, Training Loss: 0.05965228097513318, Validation Loss: 0.054993901401758194
Epoch 23, Training Loss: 0.05960914745926857, Validation Loss: 0.054958444161742344
Epoch 24, Training Loss: 0.05920595087110996, Validation Loss: 0.05472883034278365
Epoch 25, Training Loss: 0.05905155517160893, Validation Loss: 0.05425650611811993
Epoch 26, Training Loss: 0.05883363949134946, Validation Loss: 0.05441230089933265
Epoch 27, Training Loss: 0.05871138392016292, Validation Loss: 0.05417382286167612
Epoch 28, Training Loss: 0.05843695856630802, Validation Loss: 0.054165678938814237
Epoch 29, Training Loss: 0.058331557828933, Validation Loss: 0.05388996735507367
Epoch 30, Training Loss: 0.05820623533800244, Validation Loss: 0.053992630366016835
Epoch 31, Training Loss: 0.058042912371456624, Validation Loss: 0.05392955645334487
Epoch 32, Training Loss: 0.05801627859473228, Validation Loss: 0.05380799957350189
Epoch 33, Training Loss: 0.057850798778235915, Validation Loss: 0.05353479547535672
Epoch 34, Training Loss: 0.057687799651175736, Validation Loss: 0.05344485352728881
